Category,Sheet,Issue type,Urgency,Status
Staff - Attendance and Timeoff,Titan,,,NO EQUIVALENT in this sheet - needs a decision
Roles and Permissions,CP,,,NO EQUIVALENT in this sheet - needs a decision
Roles and Permissions,Teamhub,Unable to access other centre/s,2,mapped
Roles and Permissions,Titan,,,NO EQUIVALENT in this sheet - needs a decision
CSU,CP,,,NO EQUIVALENT in this sheet - needs a decision
CSU,Teamhub,,,NO EQUIVALENT in this sheet - needs a decision
CSU,Titan,,,NO EQUIVALENT in this sheet - needs a decision
Login,General,Systems access issues,1,General fallback
Roles and Permissions,General,Systems access issues,1,General fallback
Quick Access,General,Systems access issues,1,General fallback
Invoicing,General,"Invoicing, bookings or Payment issues (workaround available)",2,General fallback
Payments - Credit Card,General,"Invoicing, bookings or Payment issues (workaround available)",2,General fallback
Payments Registration,General,"Invoicing, bookings or Payment issues (workaround available)",2,General fallback
Payments - Direct Debit,General,"Invoicing, bookings or Payment issues (workaround available)",2,General fallback
Bookings (Products),General,"Invoicing, bookings or Payment issues (workaround available)",2,General fallback
Bookings (Products) - Short Stay,General,"Invoicing, bookings or Payment issues (workaround available)",2,General fallback
SOA,General,Customer account balance issues (Statement of Account - SoA),3,General fallback
Retainers,General,Customer account balance issues (Statement of Account - SoA),3,General fallback
Documents,General,Visibility of documents,3,General fallback
Mobile,General,Application updates,3,General fallback
CSU,General,Requests in general,3,General fallback
Staff - Attendance and Timeoff,General,Requests in general,3,General fallback
Help and Inbox,General,Errors or issues in non-critical functionalities (none of the above),2,General fallback
Accounts and Companies,General,Errors or issues in non-critical functionalities (none of the above),2,General fallback
XC (Product and Services),General,Errors or issues in non-critical functionalities (none of the above),2,General fallback
Services,General,Errors or issues in non-critical functionalities (none of the above),2,General fallback
Memberships,General,Errors or issues in non-critical functionalities (none of the above),2,General fallback
Renewals,General,Errors or issues in non-critical functionalities (none of the above),2,General fallback
Contract API/Agreements,General,Errors or issues in non-critical functionalities (none of the above),2,General fallback
Center setup,General,Errors or issues in non-critical functionalities (none of the above),2,General fallback
Network devices,General,Errors or issues in non-critical functionalities (none of the above),2,General fallback
